multi_crop_irrigated_flag,consent_percentage_collected,valuation_gap_pct,is_landbank_parcel,sla_overrun_flag,district_code,litigation_delay_target
0,81.38020371082808,38.37578580463204,0,1,WB-MSD,1
1,83.61388054710102,35.38538769029169,1,1,WB-N24,1
1,82.00088038806207,14.264689468024452,0,1,WB-S24,1
0,73.61245226259447,20.861647112450804,1,0,WB-S24,0
0,68.44790843446813,10.674956375538125,1,0,WB-HWR,0
0,69.27708089423679,10.843565603804645,0,1,WB-HGH,1
0,68.49165095365174,35.42880858604427,0,0,WB-MSD,0
1,92.40786174360716,43.63700481421242,0,0,WB-PMD,1
0,82.68402100105551,48.322966273751256,0,0,WB-PBD,0
1,20.0,33.275620289725,1,0,WB-PMD,1
0,83.80621397753569,13.284559551243063,1,0,WB-PBD,0
1,75.50525150493795,9.754265545201882,0,0,WB-N24,0
1,71.66324238397385,41.578293719154104,0,1,WB-PBD,1
0,65.00666784440006,31.04404143619997,0,0,WB-PMD,0
0,92.23402895974824,32.822825945617396,0,0,WB-PMD,0
0,89.05547631821145,40.16579399396191,0,0,WB-S24,0
0,58.08820197917504,36.64747524796032,0,0,WB-MSD,1
0,79.32694116824163,42.55062137852435,0,0,WB-S24,0
0,54.51017877825685,7.529625745694531,0,1,WB-HGH,1
0,47.16687303379925,38.63842865359272,0,0,WB-PMD,1
0,60.719089957380625,43.2883740794943,1,1,WB-MSD,1
0,87.52308250288965,17.876076910624143,1,0,WB-N24,0
0,89.15625081676956,33.820127329696376,0,0,WB-PBD,0
0,81.23553756175127,19.137292872663743,0,0,WB-HGH,0
0,85.05172416326394,48.10869799171043,0,0,WB-HWR,0
1,81.29120916806926,6.504060759597669,0,1,WB-HWR,1
0,60.45333128598686,31.090677972482975,0,1,WB-MSD,1
0,79.77460580413093,12.49265961722818,0,1,WB-PBD,0
0,86.40737145409828,37.04990923297214,0,0,WB-PBD,0
0,85.57724393664434,12.915062753839795,0,0,WB-MSD,0
0,93.40044068654358,15.59224678542609,0,0,WB-PBD,0
0,84.74946924961915,27.246686497059112,0,1,WB-S24,1
0,78.3260677357485,46.16757274985952,0,0,WB-PBD,1
1,91.26270428969569,14.527146746658687,1,1,WB-HWR,1
1,71.52261733351692,11.490800950314657,0,0,WB-PBD,1
1,56.12625627790108,39.15395743343138,0,0,WB-PMD,1
0,69.06479464901226,27.527878955026893,0,0,WB-MSD,0
0,58.591752393483915,46.03033005717971,1,0,WB-N24,0
1,59.846791050461135,11.597655072192904,0,1,WB-HWR,1
0,69.39866392712068,34.06675518603677,0,0,WB-N24,0
0,57.736441422000695,15.479561576831676,1,1,WB-HWR,0
0,66.45669246649727,12.054219289323768,0,0,WB-HGH,0
0,37.91493599483186,35.75432368207717,0,1,WB-PMD,1
1,75.83928673271289,31.715807895892993,0,0,WB-HWR,1
0,72.02169855652004,38.967235626304905,0,1,WB-PMD,1
1,57.29240464077257,18.925815940078206,0,1,WB-HWR,1
0,83.86642203178329,25.158724537198548,0,1,WB-N24,1
0,88.87626247727805,23.24622543486883,0,0,WB-N24,0
0,43.063922441358464,49.28402587849314,0,1,WB-MSD,1
0,58.27095398580814,18.151203053272454,0,0,WB-HWR,0
1,58.15543770382863,18.26677572560451,0,0,WB-HWR,1
1,55.08174418004043,20.954669397287333,0,0,WB-S24,1
1,86.93054715477147,30.406733658064468,1,0,WB-PMD,0
1,68.51112950208953,16.354523491868534,0,1,WB-PMD,1
0,67.238732856409,46.18804731706732,0,0,WB-PMD,0
1,35.93047744067844,16.955850418981857,0,0,WB-PMD,1
0,83.43752454376607,45.31170792020876,0,1,WB-HGH,1
0,49.693348892637495,9.65637786409631,0,0,WB-HGH,0
0,73.07878734479391,34.545321607984356,0,1,WB-PBD,1
0,76.99278488324745,45.814348329720964,0,0,WB-HWR,0
0,96.49185472509572,12.593724727920328,0,0,WB-HWR,0
0,48.44123281585598,48.57471320446648,1,0,WB-HWR,1
1,20.0,25.379751218698026,0,1,WB-HWR,1
0,75.3092918055665,47.5571798798461,0,1,WB-PMD,1
0,99.0,35.45690196335212,0,1,WB-PMD,1
0,94.30103435290988,18.57140914430982,0,0,WB-HGH,0
0,75.77386947494327,13.473613621269788,0,0,WB-N24,0
1,63.15054865862315,18.66807708012947,0,0,WB-S24,1
0,86.52820673947159,9.185783416820374,0,0,WB-PMD,0
1,54.47616840531957,11.47405848544984,0,0,WB-PMD,1
1,80.57443984841194,9.70971981559165,1,1,WB-MSD,0
0,81.09846286499928,24.0324594683701,0,0,WB-PMD,0
0,91.08377833497984,40.80102693159139,0,0,WB-N24,0
1,99.0,11.362259939735308,1,1,WB-N24,0
1,79.0634874092178,10.864419492755115,0,1,WB-HGH,1
1,62.838654737265024,33.954302728279885,0,0,WB-PMD,1
1,71.5396623805441,13.873234188562982,0,0,WB-MSD,1
0,40.15663371199587,9.392451714904622,0,0,WB-S24,1
0,59.49516364039695,12.508186019250994,0,0,WB-HWR,0
0,64.63291611396413,46.56791281445493,0,1,WB-PMD,1
1,62.566408837177335,41.96620637492859,0,0,WB-HGH,1
0,74.742387696607,20.932905305979233,0,1,WB-HGH,1
0,57.19644121712039,34.51193452973268,1,1,WB-S24,1
0,92.17855201184048,29.177405315061712,0,1,WB-MSD,0
0,72.00372716852755,35.47059185671537,0,0,WB-PBD,1
0,71.83259421950494,35.72020186082417,0,0,WB-HGH,0
1,66.09789510276748,33.29303067769968,0,1,WB-N24,1
0,74.79343230946162,16.974561584178886,1,0,WB-N24,0
1,86.85176876401742,6.755288934326815,0,0,WB-HWR,1
0,56.391656117203794,25.500505189554897,0,0,WB-HGH,0
0,60.15390319664538,45.093824811081674,0,0,WB-MSD,1
1,66.53293148202003,30.627376633335917,0,1,WB-HWR,1
1,47.77432337748213,42.45759687658585,0,0,WB-HGH,1
0,57.25335852501304,49.623095433255266,0,0,WB-S24,1
1,63.42802427619614,12.362729186222431,0,0,WB-PMD,1
0,87.73900525282909,36.1299937613892,0,0,WB-MSD,0
0,76.72610392203465,35.34321081650111,0,1,WB-HGH,1
0,75.4846184046158,49.09799513112253,0,1,WB-MSD,1
0,87.3161633190235,49.35203302787602,1,0,WB-PBD,0
0,69.52730780881086,35.900537527585826,1,0,WB-MSD,0
0,79.02836729872001,15.962665639198741,1,0,WB-MSD,0
0,70.14200844721506,40.93501271587696,1,1,WB-N24,1
0,76.77652228919331,9.816311039496714,0,0,WB-S24,0
0,61.51034416299152,40.13146868772329,0,1,WB-PMD,1
1,28.101291151024277,45.95882558651134,0,0,WB-PMD,1
0,69.58297508064652,22.227502764579587,1,1,WB-N24,0
0,97.60946644979893,33.37858827423862,0,0,WB-MSD,0
1,88.67187724034866,24.356422944357185,1,1,WB-PMD,1
0,89.37715472264108,24.69942747446578,0,0,WB-HWR,0
0,94.25035299251192,18.966690009865403,1,1,WB-S24,0
0,73.59583663730588,39.29583292026461,0,0,WB-PBD,0
0,75.55168273330072,47.12794538749273,0,0,WB-N24,1
1,60.8822658821817,47.33378866555075,1,1,WB-HGH,1
1,66.3106885915131,12.865157819372023,0,0,WB-HGH,1
0,83.08388069588055,44.363464234545475,1,1,WB-HGH,0
1,93.6699198690387,38.18441486422049,0,1,WB-S24,1
1,69.489967037742,16.377683031063015,0,0,WB-PBD,1
0,63.89659323267459,8.027807581468155,0,0,WB-PMD,0
1,72.00950325941875,17.05987700979701,0,0,WB-PBD,0
0,82.82172148072407,46.04937065516865,0,0,WB-PBD,0
1,46.01061330959625,33.49304037030976,0,0,WB-N24,1
1,30.668742843529714,37.447459740404234,0,1,WB-S24,1
0,62.090336709151494,16.571855799909315,0,0,WB-HGH,0
0,50.02717633354514,37.37246700086691,0,0,WB-N24,1
0,62.8534764423484,6.265467782506569,0,0,WB-PMD,0
